type,sent_id,verb_id,verb,tran,aspect,sentence,obj_mentioned,number,imp,neg,combination,variant
filler,65,0,выбежать,intran,perf,Минут через пятнадцать он наконец выбежал из дома.,0,sg,0,0,1,0
filler,66,0,солгать,intran,perf,Старик мне не солгал - здесь и правда была древняя часовня.,0,sg,0,1,2,0
filler,67,0,посмотреть,intran,perf,"Посмотри, пожалуйста, это случайно не Петя там идет?",0,sg,1,0,3,0
filler,68,0,заболеть,intran,perf,"Не заболей, а то сидишь прямо возле окна...",0,sg,1,1,4,0
filler,69,0,выжить,intran,perf,"К счастью, все пассажиры попавшего в аварию автобуса выжили.",0,pl,0,0,1,0
filler,70,0,справиться,intran,perf,Они не справились с этим заданием.,0,pl,0,1,2,0
filler,71,0,подсказать,intran,perf,"Подскажите, пожалуйста, как пройти в библиотеку?",0,pl,1,0,3,0
filler,72,0,упасть,intran,perf,"Осторожнее, не упадите, здесь скользко!",0,pl,1,1,4,0
filler,73,0,нарисовать,tran,perf,Я нарисовала пушистую кошку с длинным хвостом и голубыми глазами.,1,sg,0,0,1,0
filler,74,0,разбить,tran,perf,"Удивительно, что ты до сих пор не разбил эту чашку...",1,sg,0,1,2,0
filler,75,0,подать,tran,perf,"Подай мне, пожалуйста, вон ту книгу!",1,sg,1,0,3,0
filler,76,0,задеть,tran,perf,"Не задень его, а то ты что-то руками сильно машешь!",1,sg,1,1,4,0
filler,77,0,порадовать,tran,perf,Вчера мои родители порадовали меня вкуснейшей едой.,1,pl,0,0,1,0
filler,78,0,сказать,tran,perf,Почему они не сказали мне правду?,1,pl,0,1,2,0
filler,79,0,обратить,tran,perf,Обратите внимание на здание справа; раньше здесь была поликлиника.,1,pl,1,0,3,0
filler,80,0,наделать,tran,perf,Только не наделайте глупостей!,1,pl,1,1,4,0
